dialogue_index,face_index,image_path,frame_path,timestamp_seconds,dialogue_text,speaker,is_llm_confident,scene_number,detection_confidence,face_x,face_y,face_width,face_height,blur_score,series,season,episode,episode_code
64,1,data/GA/S01/E01/dialogue_faces/dialogue_0064_face_01.png,data/GA/S01/E01/dialogue_frames/dialogue_0064_frame.png,219.1345,"with a slit up the side, strappy sandals...",Dr. George O'Malley,True,4,1.0,502,194,180,236,18.18247728674009,GA,S01,E01,GAS01E01
65,0,data/GA/S01/E01/dialogue_faces/dialogue_0065_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0065_frame.png,224.115,"Now you think I'm gay. No, I'm not gay.",Dr. George O'Malley,True,4,1.0,1142,166,260,375,13.777221253628078,GA,S01,E01,GAS01E01
65,1,data/GA/S01/E01/dialogue_faces/dialogue_0065_face_01.png,data/GA/S01/E01/dialogue_frames/dialogue_0065_frame.png,224.115,"Now you think I'm gay. No, I'm not gay.",Dr. George O'Malley,True,4,1.0,488,158,335,499,10.886082772576483,GA,S01,E01,GAS01E01
67,0,data/GA/S01/E01/dialogue_faces/dialogue_0067_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0067_frame.png,232.3345,"O’Malley, Yang, Grey, Stevens.",Unidentified Resident or Staff,False,4,1.0,474,48,221,324,13.278838485488402,GA,S01,E01,GAS01E01
67,1,data/GA/S01/E01/dialogue_faces/dialogue_0067_face_01.png,data/GA/S01/E01/dialogue_frames/dialogue_0067_frame.png,232.3345,"O’Malley, Yang, Grey, Stevens.",Unidentified Resident or Staff,False,4,1.0,1209,190,213,297,16.79116835834334,GA,S01,E01,GAS01E01
68,0,data/GA/S01/E01/dialogue_faces/dialogue_0068_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0068_frame.png,235.3745,And I'm totally forgettable.,Dr. Meredith Grey,False,4,1.0,1051,151,201,260,14.851476047414874,GA,S01,E01,GAS01E01
69,0,data/GA/S01/E01/dialogue_faces/dialogue_0069_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0069_frame.png,238.123,- Bailey? - End of the hall.,Dr. Cristina Yang,False,4,1.0,521,178,272,463,9.470432376316118,GA,S01,E01,GAS01E01
70,0,data/GA/S01/E01/dialogue_faces/dialogue_0070_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0070_frame.png,241.1995,That's the Nazi?,Dr. George O'Malley,False,4,1.0,1242,140,226,276,11.833619508296586,GA,S01,E01,GAS01E01
70,1,data/GA/S01/E01/dialogue_faces/dialogue_0070_face_01.png,data/GA/S01/E01/dialogue_frames/dialogue_0070_frame.png,241.1995,That's the Nazi?,Dr. George O'Malley,False,4,1.0,650,95,279,426,13.11005027331225,GA,S01,E01,GAS01E01
72,0,data/GA/S01/E01/dialogue_faces/dialogue_0072_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0072_frame.png,245.7235,I thought the Nazi would be a Nazi.,Dr. Cristina Yang,False,4,1.0,1127,174,272,353,10.23087944867863,GA,S01,E01,GAS01E01
72,1,data/GA/S01/E01/dialogue_faces/dialogue_0072_face_01.png,data/GA/S01/E01/dialogue_frames/dialogue_0072_frame.png,245.7235,I thought the Nazi would be a Nazi.,Dr. Cristina Yang,False,4,1.0,494,104,350,514,8.86675700651844,GA,S01,E01,GAS01E01
73,0,data/GA/S01/E01/dialogue_faces/dialogue_0073_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0073_frame.png,248.2505,Maybe it's professional jealousy.,Dr. Meredith Grey,False,4,1.0,145,214,241,341,9.696563177622778,GA,S01,E01,GAS01E01
74,0,data/GA/S01/E01/dialogue_faces/dialogue_0074_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0074_frame.png,250.686,"Maybe she's brilliant, and they call her a Nazi because they're jealous.",Dr. Isobel Stevens,False,4,1.0,1714,318,204,288,10.032109429097632,GA,S01,E01,GAS01E01
74,1,data/GA/S01/E01/dialogue_faces/dialogue_0074_face_01.png,data/GA/S01/E01/dialogue_frames/dialogue_0074_frame.png,250.686,"Maybe she's brilliant, and they call her a Nazi because they're jealous.",Dr. Isobel Stevens,False,4,1.0,709,217,379,560,11.50086931681953,GA,S01,E01,GAS01E01
75,0,data/GA/S01/E01/dialogue_faces/dialogue_0075_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0075_frame.png,252.89249999999998,Maybe she's nice.,Dr. George O'Malley,False,4,1.0,735,85,475,641,5.566099028469218,GA,S01,E01,GAS01E01
76,0,data/GA/S01/E01/dialogue_faces/dialogue_0076_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0076_frame.png,254.1795,Let me guess - you're the model.,Dr. Cristina Yang,False,4,1.0,1299,108,237,326,8.05450514402517,GA,S01,E01,GAS01E01
76,1,data/GA/S01/E01/dialogue_faces/dialogue_0076_face_01.png,data/GA/S01/E01/dialogue_frames/dialogue_0076_frame.png,254.1795,Let me guess - you're the model.,Dr. Cristina Yang,False,4,1.0,481,69,339,507,9.212649640177714,GA,S01,E01,GAS01E01
77,0,data/GA/S01/E01/dialogue_faces/dialogue_0077_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0077_frame.png,257.551,"Hi, I'm Isobel Stevens, but everyone calls me ""Izzie.""",Dr. Isobel Stevens,True,4,1.0,240,358,179,237,22.124834737688495,GA,S01,E01,GAS01E01
77,1,data/GA/S01/E01/dialogue_faces/dialogue_0077_face_01.png,data/GA/S01/E01/dialogue_frames/dialogue_0077_frame.png,257.551,"Hi, I'm Isobel Stevens, but everyone calls me ""Izzie.""",Dr. Isobel Stevens,True,4,1.0,576,138,248,317,11.281141950023335,GA,S01,E01,GAS01E01
78,0,data/GA/S01/E01/dialogue_faces/dialogue_0078_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0078_frame.png,261.94399999999996,I have five rules. Memorize them.,Dr. Miranda Bailey,True,5,1.0,1155,106,227,303,14.285034012559125,GA,S01,E01,GAS01E01
79,0,data/GA/S01/E01/dialogue_faces/dialogue_0079_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0079_frame.png,264.988,Rule number one - don't bother sucking up.  I already hate you. That's not gonna change.,Dr. Miranda Bailey,True,5,1.0,937,128,228,306,16.211012310699086,GA,S01,E01,GAS01E01
80,0,data/GA/S01/E01/dialogue_faces/dialogue_0080_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0080_frame.png,269.1385,"Trauma protocol, phone list, pagers - nurses will page you.",Dr. Miranda Bailey,True,5,1.0,487,96,259,366,10.838807474284355,GA,S01,E01,GAS01E01
81,0,data/GA/S01/E01/dialogue_faces/dialogue_0081_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0081_frame.png,273.589,You will answer every page at a run -  a run - that's rule number two.,Dr. Miranda Bailey,True,5,1.0,800,37,290,378,12.763418147213466,GA,S01,E01,GAS01E01
90,0,data/GA/S01/E01/dialogue_faces/dialogue_0090_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0090_frame.png,305.5395,Yes?,Dr. Miranda Bailey,False,5,1.0,836,178,273,352,10.039962495197418,GA,S01,E01,GAS01E01
90,1,data/GA/S01/E01/dialogue_faces/dialogue_0090_face_01.png,data/GA/S01/E01/dialogue_frames/dialogue_0090_frame.png,305.5395,Yes?,Dr. Miranda Bailey,False,5,1.0,1610,59,308,476,10.939175628550197,GA,S01,E01,GAS01E01
91,0,data/GA/S01/E01/dialogue_faces/dialogue_0091_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0091_frame.png,307.405,You said five rules. That was only four.,Dr. George O'Malley,False,5,1.0,831,140,279,372,9.972163924273172,GA,S01,E01,GAS01E01
91,1,data/GA/S01/E01/dialogue_faces/dialogue_0091_face_01.png,data/GA/S01/E01/dialogue_frames/dialogue_0091_frame.png,307.405,You said five rules. That was only four.,Dr. George O'Malley,False,5,1.0,1575,9,323,526,7.8368141568380985,GA,S01,E01,GAS01E01
91,2,data/GA/S01/E01/dialogue_faces/dialogue_0091_face_02.png,data/GA/S01/E01/dialogue_frames/dialogue_0091_frame.png,307.405,You said five rules. That was only four.,Dr. George O'Malley,False,5,0.99,0,0,168,324,12.335026428067119,GA,S01,E01,GAS01E01
92,0,data/GA/S01/E01/dialogue_faces/dialogue_0092_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0092_frame.png,311.0605,"Rule number five - when I move, you move.",Dr. Miranda Bailey,True,5,1.0,719,355,199,270,13.87686294842258,GA,S01,E01,GAS01E01
94,0,data/GA/S01/E01/dialogue_faces/dialogue_0094_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0094_frame.png,330.772,What do we got?,Dr. Miranda Bailey,False,6,1.0,1132,277,282,367,5.116876783184987,GA,S01,E01,GAS01E01
95,0,data/GA/S01/E01/dialogue_faces/dialogue_0095_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0095_frame.png,333.6735,"Katie Bryce, 15-year-old female, new onset seizures, intermittent for the past week.",Dr. Meredith Grey,False,6,1.0,275,69,220,299,12.125085782278557,GA,S01,E01,GAS01E01
98,0,data/GA/S01/E01/dialogue_faces/dialogue_0098_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0098_frame.png,343.29449999999997,"Izzie, 10 milligrams diazepam I.M.",Dr. Miranda Bailey,False,6,1.0,617,174,298,422,12.297014939951623,GA,S01,E01,GAS01E01
99,0,data/GA/S01/E01/dialogue_faces/dialogue_0099_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0099_frame.png,346.3125,"No, no. The white lead is on the right.",Dr. Isobel Stevens,False,6,1.0,906,0,282,328,13.176240922039065,GA,S01,E01,GAS01E01
99,1,data/GA/S01/E01/dialogue_faces/dialogue_0099_face_01.png,data/GA/S01/E01/dialogue_frames/dialogue_0099_frame.png,346.3125,"No, no. The white lead is on the right.",Dr. Isobel Stevens,False,6,1.0,174,437,247,286,8.185160161425094,GA,S01,E01,GAS01E01
100,0,data/GA/S01/E01/dialogue_faces/dialogue_0100_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0100_frame.png,348.609,"Righty, whity - smoke over fire.",Dr. George O'Malley,False,6,1.0,869,206,250,357,13.49783861073253,GA,S01,E01,GAS01E01
101,0,data/GA/S01/E01/dialogue_faces/dialogue_0101_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0101_frame.png,351.294,A large-bore I.V. Don't let the blood hemolyze. Let's go!,Dr. Miranda Bailey,False,6,1.0,598,78,256,349,13.796520138801583,GA,S01,E01,GAS01E01
101,1,data/GA/S01/E01/dialogue_faces/dialogue_0101_face_01.png,data/GA/S01/E01/dialogue_frames/dialogue_0101_frame.png,351.294,A large-bore I.V. Don't let the blood hemolyze. Let's go!,Dr. Miranda Bailey,False,6,1.0,1627,608,222,282,8.151056524358086,GA,S01,E01,GAS01E01
102,0,data/GA/S01/E01/dialogue_faces/dialogue_0102_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0102_frame.png,359.3435,What do we have? A wet fish on dry land.,Dr. Preston Burke,False,6,1.0,918,189,385,516,11.801061193977711,GA,S01,E01,GAS01E01
103,0,data/GA/S01/E01/dialogue_faces/dialogue_0103_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0103_frame.png,361.0555,"Absolutely, Dr. Burke.",Dr. George O'Malley,False,6,1.0,1125,30,228,321,8.776170437673734,GA,S01,E01,GAS01E01
103,1,data/GA/S01/E01/dialogue_faces/dialogue_0103_face_01.png,data/GA/S01/E01/dialogue_frames/dialogue_0103_frame.png,361.0555,"Absolutely, Dr. Burke.",Dr. George O'Malley,False,6,1.0,409,464,179,251,16.33419947882314,GA,S01,E01,GAS01E01
104,0,data/GA/S01/E01/dialogue_faces/dialogue_0104_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0104_frame.png,364.286,"Dr. Bailey, let's shotgun her.",Dr. Preston Burke,False,6,1.0,1224,0,236,322,10.558041992362003,GA,S01,E01,GAS01E01
104,1,data/GA/S01/E01/dialogue_faces/dialogue_0104_face_01.png,data/GA/S01/E01/dialogue_frames/dialogue_0104_frame.png,364.286,"Dr. Bailey, let's shotgun her.",Dr. Preston Burke,False,6,1.0,543,444,179,254,16.676292934757623,GA,S01,E01,GAS01E01
106,0,data/GA/S01/E01/dialogue_faces/dialogue_0106_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0106_frame.png,371.181,"Cristina, you're on labs. George, patient work-ups.",Dr. Miranda Bailey,True,6,1.0,575,82,305,433,16.056648782311434,GA,S01,E01,GAS01E01
107,0,data/GA/S01/E01/dialogue_faces/dialogue_0107_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0107_frame.png,373.7885,"Meredith, get Katie for a C.T.",Dr. Miranda Bailey,True,6,1.0,887,108,259,319,13.921430522785883,GA,S01,E01,GAS01E01
107,1,data/GA/S01/E01/dialogue_faces/dialogue_0107_face_01.png,data/GA/S01/E01/dialogue_frames/dialogue_0107_frame.png,373.7885,"Meredith, get Katie for a C.T.",Dr. Miranda Bailey,True,6,1.0,300,257,245,264,9.188586450466955,GA,S01,E01,GAS01E01
108,0,data/GA/S01/E01/dialogue_faces/dialogue_0108_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0108_frame.png,375.896,She's your responsibility now.,Dr. Miranda Bailey,True,6,1.0,542,70,460,645,9.274097177452974,GA,S01,E01,GAS01E01
109,0,data/GA/S01/E01/dialogue_faces/dialogue_0109_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0109_frame.png,377.77,Wait. What about me?,Dr. Isobel Stevens,False,6,1.0,802,26,329,419,11.538166014563476,GA,S01,E01,GAS01E01
112,0,data/GA/S01/E01/dialogue_faces/dialogue_0112_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0112_frame.png,401.12350000000004,Katie Bryce's labs came out clear. There's nothing,Dr. Cristina Yang,False,7,1.0,1065,107,235,350,12.90960719329823,GA,S01,E01,GAS01E01
113,0,data/GA/S01/E01/dialogue_faces/dialogue_0113_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0113_frame.png,403.1325,in the results that explain her seizures.,Dr. Cristina Yang,False,7,1.0,1096,164,298,426,11.254085831203875,GA,S01,E01,GAS01E01
114,0,data/GA/S01/E01/dialogue_faces/dialogue_0114_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0114_frame.png,405.0505,- I just thought you wanna know. - Okay.,Dr. Cristina Yang,False,7,1.0,572,144,357,459,21.695629219490964,GA,S01,E01,GAS01E01
115,0,data/GA/S01/E01/dialogue_faces/dialogue_0115_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0115_frame.png,408.1705,"I heard every year, the attending on call picks the best intern",Dr. Cristina Yang,False,7,1.0,1089,181,345,491,12.105138533105894,GA,S01,E01,GAS01E01
116,0,data/GA/S01/E01/dialogue_faces/dialogue_0116_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0116_frame.png,411.618,and lets them perform a procedure during the first shift.,Dr. Cristina Yang,False,7,1.0,1067,204,350,492,12.077134868517131,GA,S01,E01,GAS01E01
117,0,data/GA/S01/E01/dialogue_faces/dialogue_0117_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0117_frame.png,416.8465,I'm just saying it's what I heard.,Dr. Cristina Yang,False,7,1.0,1085,196,342,492,11.8647711762873,GA,S01,E01,GAS01E01
118,0,data/GA/S01/E01/dialogue_faces/dialogue_0118_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0118_frame.png,418.95500000000004,Go away... now.,Dr. Miranda Bailey,False,7,1.0,610,185,331,402,20.03266167214592,GA,S01,E01,GAS01E01
119,0,data/GA/S01/E01/dialogue_faces/dialogue_0119_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0119_frame.png,421.994,"Yeah, sounds good.",Dr. Cristina Yang,False,7,0.99,702,249,375,448,5.995766124914111,GA,S01,E01,GAS01E01
120,0,data/GA/S01/E01/dialogue_faces/dialogue_0120_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0120_frame.png,423.1465,He'll be fine?,Mr. Tony Savitch,False,7,1.0,805,0,339,432,7.411976340099709,GA,S01,E01,GAS01E01
122,0,data/GA/S01/E01/dialogue_faces/dialogue_0122_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0122_frame.png,426.1005,"If you don't count the fact that my bacon days are over, sure.",Mr. Tony Savitch,False,7,1.0,678,244,264,369,10.963071152271624,GA,S01,E01,GAS01E01
124,0,data/GA/S01/E01/dialogue_faces/dialogue_0124_face_00.png,data/GA/S01/E01/dialogue_frames/dialogue_0124_frame.png,432.6485,"And, after that, you can have all the bacon-flavored soy product you can eat.",Dr. Isobel Stevens,False,7,1.0,1004,256,290,351,11.422469098516782,GA,S01,E01,GAS01E01
